RaceName,Sex,AgeGroup,CountyName,CommunicationType,ElectionType,count
Caucasian,M,65+,OSCODA,text,scomi,7
Black,F,18-29,CASS,call,lpv,33
Caucasian,F,65+,GRATIOT,text,scomi,13
Unknown,M,30-44,MUSKEGON,call,lpv,64
Unknown,M,65+,JACKSON,call,lpv,8
Unknown,M,18-29,NEWAYGO,call,lpv,3
Black,M,45-64,LENAWEE,call,lpv,31
Hispanic,F,30-44,LIVINGSTON,text,lpv,99
Hispanic,M,30-44,HURON,call,lpv,2
Caucasian,M,45-64,MONROE,mail,lpv,4
Hispanic,M,30-44,HOUGHTON,text,lpv,14
Caucasian,F,30-44,GOGEBIC,text,scomi,3
Caucasian,M,30-44,KEWEENAW,text,lpv,18
Caucasian,M,45-64,CHIPPEWA,postcards,lpv,2
Hispanic,M,30-44,OSCODA,call,lpv,4
Black,M,45-64,EATON,text,scomi,2
Caucasian,F,30-44,CALHOUN,call,oakland,4
Unknown,F,30-44,LAKE,text,lpv,12
Caucasian,F,45-64,WASHTENAW,phone,oakland prosecutor,3
Hispanic,F,45-64,CLINTON,text,scomi,2
Black,M,18-29,ST. JOSEPH,text,scomi,2
Asian,M,45-64,WASHTENAW,text,oakland county prosecutor race,9
Asian,F,18-29,GRAND TRAVERSE,call,lpv,1
Caucasian,M,65+,OAKLAND,call,lpv,13
Caucasian,M,45-64,OGEMAW,text,oakland prosecutor,2
Caucasian,F,18-29,ST. JOSEPH,text,oakland county prosecutor race,5
Caucasian,F,18-29,MANISTEE,mail,lpv,1
Black,F,45-64,WAYNE,call,lpv,27809
Caucasian,M,30-44,GENESEE,mail,lpv,1385
Hispanic,F,45-64,OAKLAND,text,oakland,2319
Black,M,45-64,INGHAM,mail,lpv,1712
Caucasian,M,30-44,GRATIOT,call,lpv,388
Caucasian,M,18-29,GRAND TRAVERSE,call,lpv,845
Caucasian,F,65+,HILLSDALE,postcards,lpv,25
Hispanic,F,30-44,MACOMB,call,lpv,465
Caucasian,M,45-64,EATON,text,scomi,51
Black,F,45-64,BERRIEN,text,lpv,6989
Hispanic,F,30-44,MONROE,text,lpv,235
Caucasian,M,45-64,ALPENA,text,lpv,203
Unknown,F,65+,WAYNE,text,scomi,186
Caucasian,M,18-29,CHIPPEWA,text,lpv,331
Hispanic,M,45-64,LIVINGSTON,call,lpv,70
Asian,M,18-29,WAYNE,postcards,lpv,48
Unknown,F,30-44,OTTAWA,mail,lpv,250
Native American,F,45-64,CHIPPEWA,call,lpv,15
Caucasian,F,65+,BRANCH,text,scomi,13
Hispanic,F,65+,KALAMAZOO,call,lpv,41
Caucasian,F,18-29,BARRY,mail,lpv,32
Hispanic,F,30-44,CLINTON,call,lpv,67
Unknown,F,65+,CASS,call,lpv,11
Hispanic,M,30-44,ISABELLA,mail,lpv,30
Unknown,M,30-44,EATON,text,scomi,7
Hispanic,M,30-44,WAYNE,text,oakland county prosecutor race,5
Caucasian,M,65+,WAYNE,phone,oakland prosecutor,14
Caucasian,F,45-64,LAKE,text,scomi,5
Unknown,M,45-64,ST. CLAIR,text,scomi,13
Black,F,18-29,MACOMB,phone,oakland prosecutor,12
Unknown,F,18-29,MONTCALM,call,lpv,4
Native American,M,65+,OAKLAND,text,oakland county prosecutor race,2
Hispanic,M,65+,GENESEE,text,oakland,1
Black,F,18-29,WEXFORD,text,lpv,2
Native American,M,45-64,OAKLAND,text,oakland county prosecutor race,3
Caucasian,F,18-29,OGEMAW,postcards,lpv,9
Caucasian,U,18-29,GENESEE,text,lpv,10
Caucasian,F,18-29,SAGINAW,text,oakland county prosecutor race,5
Caucasian,M,30-44,EMMET,mail,lpv,16
Asian,F,30-44,ISABELLA,text,lpv,18
Caucasian,F,45-64,MENOMINEE,text,scomi,4
Caucasian,M,18-29,ST. CLAIR,text,oakland county prosecutor race,4
Caucasian,M,65+,EMMET,text,oakland,5
Asian,F,45-64,SAGINAW,text,scomi,6
Unknown,M,45-64,WASHTENAW,call,oakland,6
Hispanic,M,18-29,INGHAM,call,lpv,457
Black,F,30-44,MACOMB,mail,lpv,11652
Unknown,F,30-44,OAKLAND,mail,oakland,1817
Caucasian,M,30-44,OAKLAND,text,oakland prosecutor,2677
Caucasian,M,30-44,MUSKEGON,mail,lpv,646
Unknown,M,30-44,WAYNE,call,lpv,1600
Caucasian,F,30-44,MONTCALM,call,lpv,821
Caucasian,F,30-44,MECOSTA,text,lpv,1317
Hispanic,F,65+,OAKLAND,text,oakland county prosecutor race,256
Black,M,18-29,MACOMB,call,lpv,2920
Caucasian,M,18-29,HILLSDALE,call,lpv,277
Caucasian,F,65+,OCEANA,text,lpv,289
Caucasian,M,45-64,BERRIEN,text,lpv,1363
Unknown,M,65+,ST. CLAIR,text,lpv,55
Unknown,M,45-64,WASHTENAW,text,lpv,1455
Caucasian,M,30-44,ISABELLA,call,lpv,731
Hispanic,F,45-64,INGHAM,call,lpv,383
Unknown,M,45-64,MUSKEGON,call,lpv,63
Black,F,65+,SAGINAW,postcards,lpv,136
Caucasian,F,18-29,WASHTENAW,text,oakland county prosecutor race,63
Caucasian,U,18-29,INGHAM,text,lpv,55
Unknown,M,45-64,WASHTENAW,call,lpv,276
Caucasian,M,65+,KENT,postcards,lpv,104
Black,M,30-44,MARQUETTE,mail,lpv,32
Black,M,30-44,MACOMB,text,oakland,102
Caucasian,M,65+,LAPEER,text,oakland county prosecutor race,8
Asian,M,18-29,OAKLAND,text,scomi,63
Asian,M,30-44,CHARLEVOIX,text,lpv,6
Hispanic,M,45-64,SANILAC,call,lpv,17
Unknown,F,65+,VAN BUREN,call,lpv,16
Asian,F,30-44,MACOMB,mail,oakland,21
Caucasian,M,30-44,DICKINSON,text,scomi,8
Caucasian,M,18-29,DELTA,postcards,lpv,9
Caucasian,M,30-44,EMMET,postcards,lpv,12
Caucasian,U,18-29,INGHAM,mail,lpv,13
Hispanic,F,65+,MUSKEGON,text,scomi,31
Asian,F,30-44,GRAND TRAVERSE,call,lpv,1
Unknown,M,18-29,WAYNE,text,oakland,2
Caucasian,M,65+,BARRY,text,oakland county prosecutor race,2
Hispanic,M,30-44,DELTA,text,lpv,15
Caucasian,M,30-44,HILLSDALE,postcards,lpv,7
Caucasian,M,30-44,CLARE,text,scomi,3
Caucasian,M,30-44,BAY,text,oakland prosecutor,3
Caucasian,U,18-29,OAKLAND,text,lpv,3
Caucasian,F,65+,GLADWIN,mail,oakland,10
Unknown,M,30-44,DELTA,call,lpv,4
Hispanic,F,30-44,OTSEGO,call,lpv,1
Caucasian,M,45-64,KALAMAZOO,text,oakland prosecutor,5
Asian,M,65+,LENAWEE,call,lpv,6
Black,F,18-29,GOGEBIC,text,lpv,1
Caucasian,F,45-64,IOSCO,mail,oakland,7
Native American,F,65+,CHIPPEWA,text,lpv,2
Hispanic,M,30-44,HOUGHTON,call,lpv,3
Hispanic,F,45-64,VAN BUREN,text,scomi,2
Unknown,F,30-44,IOSCO,text,lpv,6
Hispanic,F,45-64,CHEBOYGAN,call,lpv,4
Caucasian,F,30-44,ALPENA,postcards,lpv,2
Native American,F,30-44,EMMET,call,lpv,1
Caucasian,M,65+,WEXFORD,text,scomi,2
Hispanic,F,65+,MIDLAND,postcards,lpv,6
Black,F,45-64,OSCEOLA,text,lpv,12
Unknown,M,45-64,WASHTENAW,phone,oakland,6
Unknown,M,45-64,SCHOOLCRAFT,text,lpv,1
Caucasian,M,65+,BERRIEN,text,lpv,1216
Caucasian,M,45-64,KALAMAZOO,text,lpv,2538
Caucasian,M,30-44,BERRIEN,call,lpv,1513
Black,M,45-64,GENESEE,text,lpv,29234
Caucasian,F,18-29,ANTRIM,text,lpv,415
Caucasian,F,30-44,CLINTON,call,lpv,1484
Hispanic,F,30-44,WAYNE,call,lpv,2374
Asian,F,30-44,OAKLAND,text,oakland county prosecutor race,913
Caucasian,M,45-64,VAN BUREN,text,lpv,591
Caucasian,M,18-29,ALPENA,mail,lpv,3
Caucasian,M,65+,GLADWIN,text,lpv,310
Caucasian,F,65+,SAGINAW,text,scomi,385
Caucasian,M,65+,CHIPPEWA,text,lpv,203
Caucasian,F,30-44,WASHTENAW,mail,oakland,73
Unknown,M,45-64,WASHTENAW,text,scomi,176
Caucasian,M,45-64,MECOSTA,postcards,lpv,6
Caucasian,M,45-64,PRESQUE ISLE,text,lpv,93
Caucasian,F,30-44,SCHOOLCRAFT,call,lpv,84
Caucasian,M,30-44,CHARLEVOIX,text,scomi,3
Unknown,M,30-44,MIDLAND,text,lpv,29
Caucasian,F,30-44,LIVINGSTON,phone,oakland prosecutor,16
Caucasian,M,45-64,MARQUETTE,postcards,lpv,16
Hispanic,F,65+,ARENAC,text,lpv,6
Hispanic,F,30-44,MECOSTA,call,lpv,21
Caucasian,F,18-29,ALPENA,postcards,lpv,4
Unknown,M,30-44,WASHTENAW,text,oakland county prosecutor race,4
Caucasian,F,30-44,HILLSDALE,text,scomi,6
Hispanic,M,65+,INGHAM,text,oakland,2
Caucasian,M,65+,MASON,mail,oakland,8
Caucasian,F,45-64,BERRIEN,mail,oakland,12
Caucasian,F,18-29,HURON,postcards,lpv,5
Black,M,65+,WAYNE,phone,oakland prosecutor,13
Unknown,F,45-64,OCEANA,call,lpv,3
Caucasian,U,18-29,WAYNE,mail,lpv,17
Caucasian,F,18-29,CHEBOYGAN,mail,oakland,1
Caucasian,F,30-44,CHARLEVOIX,postcards,lpv,9
Asian,M,65+,CALHOUN,call,lpv,6
Caucasian,F,65+,CRAWFORD,text,oakland,3
Hispanic,F,65+,LIVINGSTON,mail,lpv,1
Caucasian,M,65+,BENZIE,text,oakland county prosecutor race,2
Caucasian,F,65+,ALCONA,text,scomi,5
Caucasian,F,65+,ANTRIM,text,oakland county prosecutor race,4
Hispanic,F,65+,GOGEBIC,text,lpv,12
Caucasian,M,30-44,BARAGA,postcards,lpv,1
Caucasian,F,65+,ALLEGAN,mail,oakland,2
Unknown,M,45-64,MACOMB,text,oakland prosecutor,2
Asian,U,30-44,WASHTENAW,call,lpv,9
Asian,F,30-44,ARENAC,text,lpv,1
Caucasian,F,30-44,ROSCOMMON,postcards,lpv,4
Asian,F,65+,BAY,call,lpv,3
Caucasian,F,18-29,ISABELLA,phone,oakland prosecutor,4
Caucasian,F,45-64,GENESEE,text,lpv,8171
Hispanic,M,65+,ISABELLA,text,lpv,13
Black,M,30-44,MACOMB,call,lpv,5518
Unknown,F,30-44,OAKLAND,text,oakland,1717
Unknown,F,30-44,OAKLAND,text,oakland county prosecutor race,1033
Hispanic,F,65+,GENESEE,text,lpv,452
Caucasian,M,18-29,INGHAM,text,lpv,15295
Caucasian,M,30-44,LAPEER,call,lpv,1106
Caucasian,F,18-29,CHARLEVOIX,text,lpv,639
Black,M,45-64,MACOMB,text,scomi,155
Black,M,65+,SAGINAW,mail,lpv,717
Caucasian,F,30-44,BERRIEN,call,lpv,1962
Hispanic,F,18-29,SAGINAW,call,lpv,425
Caucasian,M,65+,MENOMINEE,postcards,lpv,8
Caucasian,F,30-44,GLADWIN,text,lpv,685
Black,F,18-29,MUSKEGON,text,scomi,240
Caucasian,M,18-29,MARQUETTE,postcards,lpv,16
Unknown,M,45-64,BERRIEN,call,lpv,41
Caucasian,F,65+,MACOMB,text,oakland county prosecutor race,76
Caucasian,M,65+,OTTAWA,text,scomi,139
Unknown,M,18-29,KENT,call,lpv,257
Hispanic,M,65+,ALLEGAN,call,lpv,36
Hispanic,M,30-44,CLARE,call,lpv,5
Hispanic,M,65+,GENESEE,text,scomi,49
Caucasian,M,30-44,JACKSON,text,scomi,32
Caucasian,M,45-64,CLINTON,phone,oakland,5
Unknown,F,45-64,SAGINAW,mail,lpv,159
Caucasian,M,45-64,MIDLAND,text,scomi,22
Unknown,F,30-44,BARAGA,text,lpv,2
Unknown,M,30-44,BENZIE,text,lpv,6
Hispanic,M,30-44,MONTCALM,call,lpv,28
Caucasian,F,30-44,CHARLEVOIX,text,scomi,6
Black,M,18-29,MARQUETTE,call,lpv,20
Caucasian,M,30-44,JACKSON,mail,oakland,1
Unknown,M,30-44,JACKSON,call,lpv,20
Black,M,30-44,ALGER,call,lpv,5
Native American,M,45-64,ISABELLA,call,lpv,1
Caucasian,M,30-44,ROSCOMMON,mail,lpv,4
Black,F,18-29,ALPENA,text,lpv,1
Caucasian,M,45-64,MACKINAC,mail,lpv,1
Unknown,M,30-44,ALGER,call,lpv,4
Caucasian,M,65+,NEWAYGO,call,oakland,6
Hispanic,F,30-44,HILLSDALE,call,lpv,8
Caucasian,M,30-44,EMMET,text,oakland county prosecutor race,2
Caucasian,M,65+,CRAWFORD,text,oakland county prosecutor race,2
Caucasian,M,45-64,HURON,call,lpv,3
Caucasian,F,45-64,CHEBOYGAN,text,oakland,5
Unknown,M,30-44,LEELANAU,mail,lpv,4
Caucasian,M,65+,JACKSON,text,oakland,1
Black,M,45-64,MACOMB,text,lpv,19886
Caucasian,F,30-44,KALAMAZOO,text,lpv,19679
Caucasian,M,30-44,ALCONA,call,lpv,62
Caucasian,F,30-44,GRAND TRAVERSE,call,lpv,1657
Black,M,45-64,KALAMAZOO,call,lpv,861
Caucasian,F,30-44,BAY,text,scomi,910
Caucasian,M,18-29,BARRY,call,lpv,479
Caucasian,M,18-29,INGHAM,call,lpv,3593
Caucasian,F,18-29,DICKINSON,call,lpv,184
Unknown,M,30-44,MACOMB,mail,lpv,962
Unknown,M,18-29,OAKLAND,text,oakland,659
Hispanic,M,18-29,MUSKEGON,call,lpv,171
Caucasian,F,18-29,CALHOUN,mail,lpv,900
Black,M,45-64,KALAMAZOO,mail,lpv,1088
Caucasian,M,45-64,OSCEOLA,text,lpv,148
Hispanic,M,65+,KALAMAZOO,text,lpv,195
Asian,F,30-44,WAYNE,text,scomi,718
Caucasian,F,30-44,OCEANA,call,lpv,271
Black,M,18-29,ISABELLA,mail,lpv,65
Caucasian,F,30-44,ST. JOSEPH,postcards,lpv,5
Caucasian,F,65+,GENESEE,mail,lpv,37
Hispanic,F,65+,CALHOUN,mail,lpv,47
Hispanic,M,65+,WASHTENAW,text,lpv,357
Hispanic,M,65+,MECOSTA,call,lpv,3
Hispanic,M,30-44,MONTCALM,text,lpv,56
Hispanic,F,30-44,ISABELLA,mail,lpv,39
Unknown,F,65+,INGHAM,text,scomi,28
Caucasian,M,65+,WASHTENAW,text,oakland prosecutor,1
Hispanic,F,45-64,ALLEGAN,mail,lpv,136
Caucasian,M,65+,LAKE,postcards,lpv,6
Hispanic,M,45-64,EMMET,text,lpv,2
Asian,F,65+,OTTAWA,text,scomi,3
Asian,U,45-64,WAYNE,text,lpv,6
Caucasian,F,45-64,INGHAM,text,oakland,9
Black,F,18-29,CASS,mail,lpv,4
Asian,F,30-44,WAYNE,phone,oakland prosecutor,3
Black,F,65+,INGHAM,postcards,lpv,6
Caucasian,F,65+,MONTCALM,text,oakland county prosecutor race,2
Hispanic,F,18-29,KENT,postcards,lpv,16
Caucasian,F,30-44,BARRY,mail,lpv,20
Caucasian,M,65+,KENT,text,oakland county prosecutor race,1
Caucasian,F,45-64,LIVINGSTON,call,oakland,4
Unknown,F,18-29,MACOMB,mail,oakland,8
Caucasian,M,45-64,ONTONAGON,text,scomi,2
Caucasian,F,30-44,ALPENA,text,oakland,2
Caucasian,M,30-44,OCEANA,postcards,lpv,3
Black,F,30-44,EMMET,text,lpv,6
Hispanic,F,30-44,BARRY,text,lpv,31
Caucasian,F,30-44,EMMET,mail,lpv,3
Caucasian,F,65+,JACKSON,text,oakland county prosecutor race,1
Asian,U,45-64,WASHTENAW,text,lpv,18
Unknown,F,30-44,TUSCOLA,call,lpv,3
Caucasian,M,18-29,CHEBOYGAN,mail,lpv,1
Caucasian,M,18-29,LAPEER,text,oakland county prosecutor race,1
Asian,M,65+,ANTRIM,text,lpv,6
Caucasian,U,30-44,MACOMB,call,lpv,1
Caucasian,F,65+,GRAND TRAVERSE,phone,oakland prosecutor,3
Caucasian,F,30-44,LAPEER,call,lpv,1494
Caucasian,M,65+,OAKLAND,text,scomi,2115
Black,F,30-44,KALAMAZOO,text,lpv,7904
Hispanic,M,65+,OAKLAND,mail,lpv,329
Black,M,45-64,MUSKEGON,text,lpv,5669
Caucasian,M,18-29,WASHTENAW,text,scomi,1609
Hispanic,F,18-29,MONROE,text,lpv,133
Caucasian,M,65+,CLINTON,text,lpv,619
Black,M,18-29,MECOSTA,text,lpv,12
Caucasian,F,45-64,BARAGA,text,lpv,101
Caucasian,M,45-64,GENESEE,text,scomi,1030
Hispanic,M,65+,WAYNE,text,scomi,378
Black,F,18-29,SAGINAW,text,scomi,330
Unknown,F,30-44,MUSKEGON,call,lpv,90
Caucasian,M,18-29,IOSCO,text,lpv,249
Caucasian,F,65+,WAYNE,mail,lpv,137
Hispanic,F,45-64,GRATIOT,text,scomi,2
Hispanic,M,30-44,LIVINGSTON,text,lpv,134
Caucasian,F,65+,BARRY,mail,oakland,20
Caucasian,F,30-44,LIVINGSTON,text,oakland,38
Caucasian,U,30-44,WASHTENAW,text,lpv,19
Unknown,F,30-44,MARQUETTE,text,lpv,107
Asian,F,18-29,GENESEE,call,lpv,26
Black,M,18-29,BAY,text,lpv,148
Caucasian,F,45-64,EATON,call,lpv,19
Hispanic,F,45-64,CALHOUN,text,scomi,60
Hispanic,M,65+,WASHTENAW,text,scomi,47
Caucasian,F,45-64,OTTAWA,postcards,lpv,45
Hispanic,F,18-29,HURON,text,lpv,3
Hispanic,F,30-44,CHARLEVOIX,text,lpv,24
Unknown,F,18-29,MACKINAC,call,lpv,7
Asian,F,30-44,HOUGHTON,call,lpv,3
Caucasian,M,45-64,ISABELLA,mail,lpv,17
Black,F,65+,TUSCOLA,call,lpv,6
Unknown,M,18-29,HURON,text,lpv,1
Caucasian,M,30-44,KALKASKA,postcards,lpv,2
Black,M,65+,CHARLEVOIX,text,lpv,1
Native American,F,18-29,WASHTENAW,text,lpv,12
Unknown,M,18-29,IOSCO,text,lpv,24
Hispanic,M,18-29,MACKINAC,text,lpv,12
Caucasian,F,30-44,ONTONAGON,mail,lpv,1
Black,M,65+,CLINTON,text,oakland county prosecutor race,1
Black,M,65+,GRATIOT,text,lpv,2
Hispanic,M,30-44,DICKINSON,call,lpv,7
Black,M,45-64,HILLSDALE,text,lpv,2
Black,M,65+,WASHTENAW,text,oakland,3
Hispanic,F,30-44,OCEANA,mail,lpv,12
Caucasian,F,45-64,MANISTEE,call,lpv,3
Caucasian,F,65+,OAKLAND,mail,oakland,253810
Caucasian,M,30-44,MUSKEGON,text,lpv,7073
Black,F,45-64,KENT,text,lpv,12908
Black,M,18-29,KALAMAZOO,text,lpv,3607
Asian,M,65+,OAKLAND,text,oakland county prosecutor race,1156
Asian,F,18-29,OAKLAND,mail,oakland,3468
Caucasian,F,18-29,CLINTON,postcards,lpv,33
Black,M,65+,WASHTENAW,call,lpv,315
Black,M,45-64,EATON,text,lpv,861
Caucasian,M,18-29,BENZIE,text,lpv,359
Caucasian,M,18-29,GENESEE,mail,lpv,1152
Hispanic,M,30-44,GENESEE,text,lpv,1523
Caucasian,M,30-44,KALKASKA,call,lpv,200
Unknown,F,65+,CASS,text,lpv,25
Black,M,30-44,HOUGHTON,text,lpv,1
Hispanic,M,30-44,EATON,call,lpv,184
Black,M,65+,BERRIEN,mail,lpv,420
Caucasian,M,65+,LEELANAU,postcards,lpv,3
Asian,U,18-29,OAKLAND,text,lpv,7
Unknown,M,45-64,OAKLAND,postcards,lpv,9
Unknown,M,65+,INGHAM,text,scomi,37
Caucasian,M,18-29,VAN BUREN,text,scomi,8
Caucasian,M,65+,DICKINSON,postcards,lpv,23
Asian,M,18-29,JACKSON,call,lpv,1
Caucasian,M,65+,WASHTENAW,text,oakland county prosecutor race,5
Unknown,M,18-29,LAPEER,call,lpv,4
Caucasian,F,18-29,DELTA,mail,lpv,7
Asian,M,30-44,LENAWEE,text,lpv,7
Asian,M,45-64,MONROE,text,lpv,15
Asian,F,18-29,BAY,call,lpv,13
Unknown,M,65+,SAGINAW,call,lpv,22
Caucasian,F,45-64,SCHOOLCRAFT,text,scomi,3
Caucasian,F,45-64,IONIA,text,oakland county prosecutor race,3
Caucasian,F,45-64,GLADWIN,call,oakland,4
Asian,F,45-64,MUSKEGON,call,lpv,12
Unknown,M,18-29,ALLEGAN,mail,lpv,15
Hispanic,F,30-44,HURON,call,lpv,3
Hispanic,F,30-44,ANTRIM,text,lpv,3
Hispanic,M,30-44,ROSCOMMON,text,lpv,1
Caucasian,M,18-29,LAPEER,call,oakland,4
Hispanic,M,65+,WAYNE,text,oakland,1
Caucasian,M,65+,MASON,text,oakland county prosecutor race,3
Hispanic,F,30-44,DICKINSON,text,lpv,1
Hispanic,M,30-44,BENZIE,text,lpv,11
Black,F,18-29,GLADWIN,text,lpv,4
Black,F,45-64,INGHAM,call,lpv,1351
Caucasian,F,65+,CALHOUN,text,lpv,1533
Hispanic,M,65+,GENESEE,text,lpv,404
Asian,F,30-44,MACOMB,text,lpv,6564
Asian,F,45-64,OAKLAND,call,oakland,782
Caucasian,M,18-29,OAKLAND,text,oakland county prosecutor race,9689
Black,M,18-29,WASHTENAW,call,lpv,1400
Asian,F,18-29,INGHAM,text,lpv,737
Hispanic,M,30-44,OTTAWA,mail,lpv,975
Caucasian,M,65+,OCEANA,text,lpv,179
Caucasian,M,30-44,GENESEE,text,oakland county prosecutor race,77
Caucasian,M,18-29,CALHOUN,text,scomi,251
Caucasian,F,18-29,ALPENA,text,lpv,571
Unknown,F,45-64,GENESEE,mail,lpv,233
Black,F,45-64,KALAMAZOO,call,lpv,955
Black,M,30-44,VAN BUREN,call,lpv,24
Hispanic,M,45-64,CALHOUN,text,lpv,731
Caucasian,M,18-29,MANISTEE,call,lpv,177
Caucasian,M,45-64,MACOMB,mail,oakland,125
Caucasian,M,18-29,ARENAC,text,lpv,174
Caucasian,F,65+,MUSKEGON,postcards,lpv,121
Hispanic,F,45-64,LEELANAU,call,lpv,12
Hispanic,M,30-44,WAYNE,text,oakland,3
Caucasian,F,65+,ST. JOSEPH,postcards,lpv,44
Caucasian,F,30-44,EMMET,text,scomi,11
Caucasian,F,30-44,GENESEE,postcards,lpv,61
Caucasian,M,18-29,DELTA,mail,lpv,3
Hispanic,F,18-29,MONROE,postcards,lpv,2
Hispanic,M,30-44,INGHAM,postcards,lpv,6
Unknown,M,18-29,WAYNE,text,oakland county prosecutor race,9
Hispanic,M,45-64,GRAND TRAVERSE,postcards,lpv,3
Unknown,F,18-29,JACKSON,call,lpv,20
Black,F,18-29,KALAMAZOO,text,oakland,23
Black,M,18-29,GRATIOT,text,lpv,38
Black,M,30-44,ST. JOSEPH,call,lpv,30
Unknown,F,45-64,ARENAC,call,lpv,1
Black,F,18-29,NEWAYGO,call,lpv,12
Caucasian,M,65+,TUSCOLA,postcards,lpv,13
Black,M,45-64,MANISTEE,call,lpv,1
Hispanic,F,45-64,BRANCH,mail,lpv,2
Caucasian,F,45-64,CHIPPEWA,postcards,lpv,5
Unknown,M,45-64,LEELANAU,call,lpv,4
Asian,M,30-44,ISABELLA,text,scomi,5
Caucasian,F,45-64,HURON,postcards,lpv,8
Caucasian,F,30-44,ALPENA,text,oakland county prosecutor race,2
Asian,U,30-44,MACOMB,mail,lpv,2
Black,F,30-44,ARENAC,text,lpv,6
Caucasian,F,65+,CLARE,text,oakland,1
Asian,F,30-44,MUSKEGON,mail,lpv,2
Caucasian,M,30-44,LIVINGSTON,text,oakland prosecutor,7
Native American,F,65+,MACOMB,call,lpv,3
Black,F,30-44,ALPENA,text,lpv,1
Hispanic,M,18-29,MACOMB,text,oakland prosecutor,5
Caucasian,M,30-44,GOGEBIC,text,scomi,1
Caucasian,M,30-44,MARQUETTE,text,lpv,3907
Caucasian,F,45-64,OAKLAND,mail,oakland,132636
Caucasian,M,30-44,EATON,mail,lpv,80
Caucasian,M,65+,GENESEE,text,scomi,660
Caucasian,F,18-29,MUSKEGON,text,lpv,5224
Black,M,18-29,KENT,text,lpv,6514
Caucasian,F,18-29,CASS,text,lpv,692
Black,M,18-29,GENESEE,mail,lpv,2939
Hispanic,M,30-44,KENT,call,lpv,1697
Caucasian,M,65+,WAYNE,postcards,lpv,600
Caucasian,M,65+,EMMET,text,scomi,2
Asian,M,45-64,KENT,text,lpv,1588
Caucasian,M,45-64,LENAWEE,text,scomi,51
Unknown,M,30-44,KENT,call,lpv,371
Caucasian,F,30-44,BARAGA,call,lpv,78
Black,M,18-29,OAKLAND,text,oakland county prosecutor race,548
Hispanic,F,30-44,MUSKEGON,text,scomi,134
Black,F,18-29,CLINTON,text,lpv,199
Asian,F,45-64,OTTAWA,call,lpv,191
Asian,F,45-64,BERRIEN,text,lpv,113
Hispanic,M,18-29,BERRIEN,text,lpv,361
Asian,F,65+,INGHAM,mail,lpv,86
Caucasian,F,30-44,LIVINGSTON,mail,lpv,49
Caucasian,M,18-29,MASON,mail,lpv,10
Unknown,M,45-64,SAGINAW,mail,lpv,82
Hispanic,F,18-29,TUSCOLA,text,lpv,66
Hispanic,M,65+,GENESEE,call,lpv,54
Asian,M,18-29,SAGINAW,text,lpv,61
Caucasian,F,30-44,MACOMB,text,oakland prosecutor,29
Caucasian,F,30-44,SCHOOLCRAFT,text,scomi,6
Unknown,M,45-64,DICKINSON,text,lpv,6
Unknown,F,65+,MONROE,text,lpv,16
Hispanic,F,65+,BENZIE,text,lpv,39
Black,F,18-29,INGHAM,text,oakland,3
Hispanic,F,18-29,MECOSTA,text,lpv,55
Hispanic,M,18-29,BARRY,call,lpv,32
Black,F,45-64,OCEANA,text,lpv,1
Caucasian,F,30-44,LAPEER,text,oakland,11
Caucasian,F,30-44,KALKASKA,text,oakland county prosecutor race,1
Caucasian,M,45-64,CLARE,mail,lpv,13
Caucasian,F,18-29,IRON,mail,lpv,1
Unknown,F,45-64,KALAMAZOO,postcards,lpv,3
Black,F,30-44,LUCE,call,lpv,4
Hispanic,F,18-29,ST. JOSEPH,postcards,lpv,4
Unknown,M,65+,CLINTON,mail,lpv,2
Hispanic,M,45-64,CHARLEVOIX,call,lpv,7
Unknown,F,18-29,EMMET,text,lpv,6
Hispanic,F,30-44,OSCEOLA,text,lpv,1
Black,F,65+,JACKSON,postcards,lpv,8
Caucasian,U,30-44,OAKLAND,text,lpv,2
Hispanic,F,45-64,ALPENA,call,lpv,5
Caucasian,F,45-64,MONROE,call,lpv,5
Asian,F,45-64,LIVINGSTON,text,oakland county prosecutor race,2
Caucasian,F,30-44,ROSCOMMON,mail,lpv,12
Hispanic,M,30-44,OTTAWA,postcards,lpv,9
Hispanic,M,65+,OCEANA,text,scomi,1
Unknown,M,30-44,OGEMAW,text,lpv,6
Black,M,30-44,KALAMAZOO,postcards,lpv,6
Black,M,30-44,WASHTENAW,mail,oakland,8
Caucasian,M,30-44,EATON,text,lpv,3949
Caucasian,F,45-64,KALAMAZOO,text,lpv,3695
Caucasian,M,45-64,GRAND TRAVERSE,text,lpv,1031
Caucasian,F,18-29,EMMET,text,lpv,699
Black,M,30-44,WAYNE,text,oakland,683
Asian,F,18-29,WASHTENAW,mail,lpv,1572
Caucasian,F,18-29,WAYNE,text,oakland,114
Asian,F,18-29,WAYNE,mail,lpv,1603
Unknown,F,30-44,WAYNE,mail,lpv,2009
Hispanic,M,18-29,OCEANA,call,lpv,60
Unknown,M,45-64,OAKLAND,text,scomi,77
Caucasian,M,65+,BENZIE,text,lpv,214
Caucasian,F,18-29,MONTMORENCY,text,lpv,66
Black,F,18-29,GENESEE,text,scomi,1013
Caucasian,M,18-29,ANTRIM,call,lpv,215
Caucasian,M,18-29,IRON,call,lpv,32
Caucasian,M,45-64,MACOMB,phone,oakland prosecutor,4
Unknown,M,30-44,OAKLAND,text,scomi,54
Unknown,M,18-29,MUSKEGON,mail,lpv,35
