RaceName,Sex,AgeGroup,CountyName,2020_Biden_Support,count
Hispanic,F,65+,Calhoun,5. Strong Oppose,3
Black,F,18-29,Washtenaw,2. Lean Support,12
Black,M,18-29,Kalamazoo,2. Lean Support,15
Caucasian,F,65+,Houghton,2. Lean Support,1
Black,F,65+,Muskegon,2. Lean Support,3
Asian,M,45-64,Berrien,Undecided/Unsure,3
Caucasian,F,45-64,Branch,1. Strong Support,2
Caucasian,M,65+,Lenawee,5. Strong Oppose,3
Caucasian,M,30-44,Barry,1. Strong Support,2
Caucasian,M,45-64,Marquette,Undecided/Unsure,1
Hispanic,M,18-29,Van Buren,5. Strong Oppose,1
Black,F,45-64,Saginaw,1. Strong Support,126
Caucasian,F,65+,Emmet,5. Strong Oppose,1
Unknown,M,45-64,Kent,1. Strong Support,51
Hispanic,M,30-44,Saginaw,1. Strong Support,14
Black,M,18-29,Kalamazoo,1. Strong Support,69
Caucasian,M,18-29,Sanilac,5. Strong Oppose,3
Caucasian,M,65+,Oakland,Not Voting,31
Hispanic,F,18-29,Van Buren,5. Strong Oppose,4
Caucasian,M,30-44,Shiawassee,5. Strong Oppose,7
Black,F,45-64,Ottawa,5. Strong Oppose,5
Caucasian,F,45-64,Branch,2. Lean Support,3
Caucasian,M,30-44,Grand Traverse,Undecided/Unsure,6
Black,F,45-64,Wayne,Not Voting,148
Caucasian,F,45-64,Macomb,4. Lean Oppose,22
Caucasian,M,45-64,Isabella,1. Strong Support,3
Caucasian,F,65+,Arenac,1. Strong Support,1
Caucasian,F,45-64,Muskegon,4. Lean Oppose,2
Caucasian,M,30-44,Bay,2. Lean Support,1
Black,M,18-29,Oakland,Not Voting,30
Caucasian,F,30-44,Emmet,1. Strong Support,10
Caucasian,F,18-29,Barry,1. Strong Support,2
Black,F,65+,Macomb,2. Lean Support,7
Caucasian,F,30-44,Kalkaska,4. Lean Oppose,3
Caucasian,M,18-29,Branch,1. Strong Support,4
Caucasian,M,65+,Lake,5. Strong Oppose,1
Caucasian,M,45-64,Van Buren,1. Strong Support,1
Caucasian,M,30-44,Ionia,5. Strong Oppose,3
Caucasian,M,45-64,Menominee,1. Strong Support,1
Caucasian,F,45-64,Ottawa,5. Strong Oppose,12
Asian,M,45-64,Wayne,Not Voting,10
Hispanic,M,65+,Kent,2. Lean Support,4
Hispanic,F,30-44,Oakland,2. Lean Support,22
Caucasian,F,18-29,Oakland,2. Lean Support,34
Caucasian,F,18-29,Washtenaw,4. Lean Oppose,15
Native American,M,65+,Oakland,Not Voting,1
Caucasian,M,65+,Huron,1. Strong Support,2
Caucasian,F,18-29,Gratiot,1. Strong Support,2
Black,M,30-44,Ottawa,5. Strong Oppose,2
Black,F,45-64,Newaygo,5. Strong Oppose,3
Caucasian,F,45-64,Allegan,2. Lean Support,1
Caucasian,F,30-44,Clare,1. Strong Support,1
Caucasian,F,30-44,Ingham,4. Lean Oppose,3
Unknown,F,30-44,Monroe,1. Strong Support,1
Caucasian,F,45-64,Berrien,Undecided/Unsure,1
Black,M,45-64,Lake,5. Strong Oppose,1
Caucasian,F,18-29,Jackson,2. Lean Support,1
Hispanic,M,45-64,Kent,1. Strong Support,167
Hispanic,F,45-64,Wayne,5. Strong Oppose,41
Black,M,65+,Saginaw,4. Lean Oppose,6
Caucasian,F,65+,Ingham,4. Lean Oppose,2
Asian,F,30-44,Washtenaw,5. Strong Oppose,9
Hispanic,M,18-29,Ottawa,5. Strong Oppose,9
Black,M,45-64,Van Buren,5. Strong Oppose,4
Hispanic,F,18-29,Muskegon,1. Strong Support,4
Black,M,30-44,Bay,1. Strong Support,8
Caucasian,F,45-64,Lake,Undecided/Unsure,1
Black,F,65+,Washtenaw,Undecided/Unsure,3
Black,M,18-29,Saginaw,4. Lean Oppose,6
Black,M,45-64,Alger,5. Strong Oppose,3
Caucasian,F,65+,Eaton,Undecided/Unsure,1
Hispanic,F,45-64,Lapeer,5. Strong Oppose,1
Caucasian,M,18-29,Mason,1. Strong Support,1
Caucasian,M,45-64,Macomb,Not Voting,8
Hispanic,F,30-44,Muskegon,1. Strong Support,9
Asian,F,65+,Wayne,5. Strong Oppose,12
Caucasian,M,18-29,Montcalm,4. Lean Oppose,1
Caucasian,F,18-29,Oakland,Not Voting,19
Hispanic,M,30-44,Oakland,Undecided/Unsure,29
Caucasian,F,30-44,Alpena,1. Strong Support,3
Caucasian,F,30-44,Midland,1. Strong Support,6
Caucasian,F,30-44,Chippewa,1. Strong Support,10
Black,M,65+,Calhoun,1. Strong Support,6
Hispanic,F,45-64,Isabella,Undecided/Unsure,3
Black,M,45-64,Muskegon,Undecided/Unsure,3
Caucasian,F,18-29,Baraga,4. Lean Oppose,3
Caucasian,F,65+,Newaygo,1. Strong Support,3
Caucasian,F,45-64,Wexford,5. Strong Oppose,4
Hispanic,F,18-29,Roscommon,1. Strong Support,1
Caucasian,F,65+,Wayne,1. Strong Support,517
Black,F,45-64,Genesee,1. Strong Support,1258
Caucasian,F,65+,St. Joseph,1. Strong Support,4
Black,F,18-29,Wayne,2. Lean Support,208
Hispanic,F,30-44,Genesee,5. Strong Oppose,12
Asian,M,18-29,Kent,1. Strong Support,18
Hispanic,M,45-64,Berrien,1. Strong Support,7
Asian,M,30-44,Kalamazoo,Undecided/Unsure,2
Caucasian,F,45-64,Monroe,2. Lean Support,2
Hispanic,M,18-29,Calhoun,Not Voting,3
Black,M,45-64,St. Clair,Not Voting,3
Hispanic,M,18-29,Genesee,4. Lean Oppose,3
Unknown,M,45-64,Saginaw,1. Strong Support,3
Unknown,F,18-29,Genesee,5. Strong Oppose,2
Caucasian,F,18-29,Grand Traverse,Not Voting,1
Caucasian,M,65+,Livingston,1. Strong Support,11
Caucasian,M,30-44,Washtenaw,5. Strong Oppose,112
Hispanic,M,30-44,Ingham,5. Strong Oppose,9
Caucasian,M,30-44,Ingham,1. Strong Support,79
Unknown,F,45-64,Kalamazoo,Undecided/Unsure,4
Black,M,30-44,Kalamazoo,2. Lean Support,16
Black,M,30-44,Oakland,4. Lean Oppose,32
Black,M,18-29,Macomb,5. Strong Oppose,74
Caucasian,F,18-29,Muskegon,4. Lean Oppose,5
Caucasian,M,30-44,Sanilac,5. Strong Oppose,4
Caucasian,M,30-44,Macomb,2. Lean Support,15
Caucasian,M,18-29,Alpena,5. Strong Oppose,2
Black,F,18-29,Eaton,4. Lean Oppose,5
Black,M,65+,Berrien,5. Strong Oppose,6
Hispanic,F,30-44,Ionia,5. Strong Oppose,4
Hispanic,F,30-44,St. Joseph,1. Strong Support,3
Asian,F,45-64,Genesee,Undecided/Unsure,1
Hispanic,F,30-44,Calhoun,1. Strong Support,1
Caucasian,F,45-64,Menominee,1. Strong Support,2
Caucasian,F,65+,Huron,5. Strong Oppose,4
Caucasian,F,30-44,Ottawa,2. Lean Support,2
Caucasian,F,65+,Oakland,Not Voting,116
Caucasian,M,18-29,Washtenaw,1. Strong Support,110
Black,M,18-29,Wayne,2. Lean Support,154
Caucasian,M,18-29,Ingham,5. Strong Oppose,28
Unknown,M,30-44,Ingham,5. Strong Oppose,8
Black,M,65+,Oakland,Not Voting,29
Black,F,65+,Wayne,4. Lean Oppose,65
Caucasian,M,18-29,Sanilac,1. Strong Support,1
Unknown,M,30-44,Saginaw,5. Strong Oppose,6
Black,M,18-29,Eaton,5. Strong Oppose,3
Hispanic,F,45-64,Isabella,1. Strong Support,3
Unknown,F,30-44,Alger,5. Strong Oppose,3
Caucasian,M,30-44,Menominee,5. Strong Oppose,1
Caucasian,F,45-64,Hillsdale,Undecided/Unsure,1
Caucasian,F,45-64,Ontonagon,5. Strong Oppose,1
Caucasian,M,45-64,Clare,1. Strong Support,1
Caucasian,M,18-29,Luce,5. Strong Oppose,1
Caucasian,M,18-29,Lenawee,5. Strong Oppose,3
Hispanic,M,30-44,Berrien,5. Strong Oppose,1
Hispanic,F,30-44,Genesee,Undecided/Unsure,49
Asian,F,45-64,Calhoun,1. Strong Support,3
Hispanic,M,65+,Clinton,Not Voting,4
Hispanic,M,18-29,Oakland,1. Strong Support,77
Black,F,18-29,Kalamazoo,2. Lean Support,15
Black,F,30-44,Cass,2. Lean Support,1
Unknown,F,30-44,Genesee,4. Lean Oppose,2
Caucasian,M,65+,Van Buren,5. Strong Oppose,2
Caucasian,M,30-44,Gladwin,2. Lean Support,4
Hispanic,M,45-64,Genesee,2. Lean Support,3
Unknown,F,45-64,Muskegon,1. Strong Support,3
Black,F,45-64,Gogebic,5. Strong Oppose,3
Asian,F,30-44,Livingston,2. Lean Support,3
Hispanic,M,18-29,Jackson,Undecided/Unsure,3
Caucasian,F,65+,Montcalm,5. Strong Oppose,3
Black,M,30-44,Cass,5. Strong Oppose,1
Asian,F,45-64,Ingham,Undecided/Unsure,1
Caucasian,F,45-64,Wayne,Not Voting,16
Caucasian,M,45-64,Wayne,2. Lean Support,30
Caucasian,M,30-44,Kalamazoo,1. Strong Support,188
Caucasian,F,30-44,Isabella,1. Strong Support,11
Hispanic,F,30-44,Lenawee,1. Strong Support,5
Black,M,65+,Oakland,2. Lean Support,46
Caucasian,F,18-29,Allegan,1. Strong Support,11
Asian,M,18-29,Wayne,4. Lean Oppose,9
Caucasian,F,30-44,Missaukee,5. Strong Oppose,5
Caucasian,F,45-64,Lenawee,4. Lean Oppose,4
Caucasian,F,30-44,Branch,1. Strong Support,2
Hispanic,M,30-44,Wayne,2. Lean Support,3
Hispanic,M,65+,Genesee,2. Lean Support,1
Hispanic,M,30-44,Bay,1. Strong Support,1
Black,F,30-44,Monroe,1. Strong Support,1
Caucasian,F,65+,Chippewa,Undecided/Unsure,1
Black,F,18-29,Mecosta,1. Strong Support,1
Hispanic,F,30-44,Clinton,Undecided/Unsure,1
Asian,M,45-64,Oakland,1. Strong Support,305
Hispanic,F,45-64,Kent,2. Lean Support,33
Asian,F,45-64,Oakland,5. Strong Oppose,96
Black,M,45-64,Wayne,Not Voting,171
Hispanic,M,30-44,Ingham,1. Strong Support,32
Unknown,F,45-64,Wayne,2. Lean Support,13
Black,M,18-29,Marquette,5. Strong Oppose,2
Caucasian,M,30-44,Midland,5. Strong Oppose,9
Unknown,M,18-29,Genesee,4. Lean Oppose,2
Caucasian,F,65+,Mecosta,1. Strong Support,3
Asian,F,30-44,Kent,5. Strong Oppose,12
Black,F,18-29,Eaton,5. Strong Oppose,6
Caucasian,F,65+,Van Buren,2. Lean Support,1
Caucasian,M,45-64,Wexford,1. Strong Support,1
Caucasian,M,30-44,Manistee,5. Strong Oppose,1
Caucasian,M,18-29,Manistee,2. Lean Support,1
Hispanic,M,45-64,Monroe,Undecided/Unsure,1
Hispanic,M,65+,Wayne,1. Strong Support,36
Caucasian,M,45-64,Bay,1. Strong Support,10
Caucasian,M,30-44,Oakland,1. Strong Support,988
Caucasian,M,30-44,Kalamazoo,Not Voting,29
Black,M,45-64,Kalamazoo,Not Voting,10
Asian,M,45-64,Ingham,1. Strong Support,10
Black,M,30-44,Montcalm,Not Voting,1
Caucasian,F,30-44,Leelanau,5. Strong Oppose,3
Caucasian,M,65+,Huron,5. Strong Oppose,2
Caucasian,F,65+,Ionia,1. Strong Support,4
Hispanic,F,45-64,Genesee,5. Strong Oppose,5
Caucasian,F,45-64,St. Clair,4. Lean Oppose,2
Black,M,45-64,Kalamazoo,2. Lean Support,4
Unknown,M,30-44,Wayne,Not Voting,6
Caucasian,M,18-29,Bay,4. Lean Oppose,3
Caucasian,M,30-44,Mason,5. Strong Oppose,4
Hispanic,F,65+,Wayne,Undecided/Unsure,1
Caucasian,F,45-64,Chippewa,Undecided/Unsure,1
Caucasian,M,65+,Alcona,5. Strong Oppose,1
Black,F,18-29,Van Buren,5. Strong Oppose,1
Hispanic,M,30-44,Lenawee,5. Strong Oppose,1
Caucasian,F,65+,Washtenaw,2. Lean Support,12
Caucasian,M,65+,Washtenaw,5. Strong Oppose,11
Hispanic,M,65+,Wayne,Not Voting,3
Black,M,18-29,Kent,1. Strong Support,292
Black,F,30-44,Ingham,1. Strong Support,128
Unknown,F,30-44,Macomb,Undecided/Unsure,12
Caucasian,M,65+,Wexford,1. Strong Support,2
Caucasian,F,30-44,Eaton,Not Voting,6
Caucasian,M,18-29,Genesee,Not Voting,7
Caucasian,M,30-44,Barry,5. Strong Oppose,10
Caucasian,M,65+,Iron,1. Strong Support,2
Caucasian,M,18-29,Marquette,4. Lean Oppose,4
Caucasian,M,30-44,Oceana,5. Strong Oppose,4
Caucasian,M,30-44,Clare,5. Strong Oppose,1
Black,F,30-44,Ionia,1. Strong Support,1
Caucasian,F,45-64,Marquette,1. Strong Support,7
Asian,F,65+,Oakland,2. Lean Support,13
Caucasian,M,30-44,Macomb,1. Strong Support,350
Caucasian,F,65+,Bay,5. Strong Oppose,13
Black,F,30-44,Muskegon,5. Strong Oppose,47
Caucasian,F,30-44,Wayne,Not Voting,43
Caucasian,M,30-44,Bay,4. Lean Oppose,6
Caucasian,M,65+,Muskegon,4. Lean Oppose,1
Caucasian,M,30-44,Ingham,4. Lean Oppose,5
Unknown,M,18-29,Oakland,1. Strong Support,21
Black,F,30-44,Kent,Undecided/Unsure,91
Caucasian,M,18-29,Saginaw,2. Lean Support,1
Caucasian,M,30-44,Oakland,4. Lean Oppose,66
Hispanic,M,45-64,Oakland,Undecided/Unsure,26
Caucasian,F,30-44,Emmet,Not Voting,2
Hispanic,M,30-44,Wayne,Undecided/Unsure,12
Black,M,30-44,Marquette,5. Strong Oppose,3
Black,F,30-44,Ingham,2. Lean Support,3
Black,M,30-44,Mecosta,1. Strong Support,3
Hispanic,F,65+,Macomb,2. Lean Support,1
Native American,F,45-64,Mackinac,5. Strong Oppose,2
Hispanic,F,45-64,Bay,5. Strong Oppose,6
Caucasian,M,18-29,Muskegon,1. Strong Support,19
Caucasian,M,45-64,Genesee,4. Lean Oppose,4
Hispanic,F,45-64,Macomb,1. Strong Support,18
Black,M,18-29,Ingham,4. Lean Oppose,10
Black,F,45-64,Oakland,4. Lean Oppose,53
Caucasian,M,65+,Roscommon,Not Voting,3
Black,F,45-64,Muskegon,1. Strong Support,90
Hispanic,M,30-44,Eaton,5. Strong Oppose,8
Black,F,65+,Jackson,2. Lean Support,4
Caucasian,F,45-64,Lapeer,Undecided/Unsure,4
Caucasian,M,45-64,St. Joseph,5. Strong Oppose,4
Caucasian,F,65+,Huron,1. Strong Support,3
Caucasian,F,30-44,Grand Traverse,Undecided/Unsure,1
Caucasian,F,65+,Sanilac,1. Strong Support,6
Caucasian,F,30-44,Grand Traverse,Not Voting,11
Caucasian,M,18-29,Gogebic,5. Strong Oppose,3
Caucasian,M,65+,Kent,Undecided/Unsure,2
Black,F,18-29,Isabella,5. Strong Oppose,1
Caucasian,F,18-29,Gladwin,1. Strong Support,1
Caucasian,M,18-29,Manistee,4. Lean Oppose,1
Hispanic,F,65+,Wayne,5. Strong Oppose,13
Caucasian,F,65+,Wayne,Not Voting,23
Black,M,45-64,Oakland,5. Strong Oppose,384
Caucasian,F,65+,Saginaw,1. Strong Support,25
Asian,F,45-64,Oakland,1. Strong Support,277
Caucasian,F,45-64,Calhoun,2. Lean Support,5
Caucasian,F,18-29,Muskegon,Undecided/Unsure,1
Unknown,M,30-44,Oakland,Undecided/Unsure,10
Unknown,M,30-44,Oakland,Not Voting,16
Black,M,65+,Kent,1. Strong Support,112
Unknown,F,30-44,Grand Traverse,5. Strong Oppose,4
Black,F,65+,Berrien,5. Strong Oppose,9
Unknown,F,65+,Washtenaw,2. Lean Support,6
Hispanic,F,18-29,Ingham,Not Voting,11
Black,M,18-29,Berrien,1. Strong Support,24
Caucasian,F,45-64,Grand Traverse,5. Strong Oppose,10
Black,F,18-29,Genesee,4. Lean Oppose,5
Caucasian,F,18-29,Kalkaska,1. Strong Support,3
Caucasian,M,30-44,Wexford,1. Strong Support,1
Unknown,M,30-44,Mackinac,5. Strong Oppose,1
Caucasian,F,18-29,Tuscola,2. Lean Support,1
Unknown,F,45-64,Washtenaw,1. Strong Support,13
Unknown,F,45-64,Oakland,1. Strong Support,95
Black,F,65+,Muskegon,5. Strong Oppose,9
Caucasian,M,65+,St. Clair,1. Strong Support,7
Black,F,30-44,Berrien,2. Lean Support,9
Unknown,F,18-29,Washtenaw,1. Strong Support,38
Black,F,45-64,Berrien,1. Strong Support,117
Black,M,65+,Calhoun,5. Strong Oppose,8
Black,F,30-44,Monroe,5. Strong Oppose,12
Black,M,45-64,Genesee,Not Voting,34
Unknown,F,45-64,Wayne,Undecided/Unsure,6
Caucasian,M,18-29,St. Clair,Undecided/Unsure,2
Hispanic,F,30-44,Washtenaw,4. Lean Oppose,3
Hispanic,M,30-44,Calhoun,5. Strong Oppose,9
Unknown,M,30-44,Macomb,Not Voting,3
Caucasian,M,18-29,Eaton,5. Strong Oppose,3
Hispanic,M,30-44,St. Clair,5. Strong Oppose,4
Caucasian,F,45-64,Menominee,5. Strong Oppose,3
Caucasian,F,30-44,Gogebic,5. Strong Oppose,2
Asian,M,18-29,Ottawa,1. Strong Support,1
Caucasian,M,30-44,Kent,5. Strong Oppose,149
Caucasian,M,45-64,St. Clair,1. Strong Support,10
Hispanic,F,45-64,Ottawa,1. Strong Support,5
Unknown,F,65+,Genesee,Undecided/Unsure,7
Asian,M,30-44,Macomb,1. Strong Support,109
Black,F,30-44,Calhoun,1. Strong Support,68
Caucasian,M,18-29,Kalamazoo,Not Voting,12
Asian,F,65+,Oakland,5. Strong Oppose,48
Caucasian,M,18-29,Kalamazoo,2. Lean Support,16
Caucasian,F,65+,Delta,1. Strong Support,4
Unknown,F,18-29,Berrien,5. Strong Oppose,3
Hispanic,F,65+,Oakland,Not Voting,1
Asian,M,18-29,Macomb,2. Lean Support,1
Caucasian,F,18-29,Manistee,5. Strong Oppose,1
Caucasian,M,18-29,Midland,5. Strong Oppose,1
Black,F,45-64,Oakland,1. Strong Support,3479
Caucasian,F,45-64,Muskegon,1. Strong Support,37
Hispanic,M,45-64,Ingham,1. Strong Support,13
Unknown,F,45-64,Washtenaw,5. Strong Oppose,11
Caucasian,M,18-29,Monroe,4. Lean Oppose,2
Asian,F,30-44,Washtenaw,Undecided/Unsure,1
Asian,M,18-29,Washtenaw,5. Strong Oppose,36
Hispanic,M,65+,Berrien,1. Strong Support,3
Caucasian,F,18-29,Berrien,4. Lean Oppose,4
Caucasian,F,45-64,Barry,1. Strong Support,8
Caucasian,F,65+,Berrien,2. Lean Support,1
Caucasian,M,65+,Iron,5. Strong Oppose,1
Caucasian,F,45-64,Charlevoix,5. Strong Oppose,5
Caucasian,F,65+,Oscoda,5. Strong Oppose,2
Caucasian,F,45-64,Midland,Undecided/Unsure,1
Black,M,30-44,Lake,5. Strong Oppose,1
Caucasian,M,45-64,Oakland,1. Strong Support,1662
Caucasian,F,45-64,Kalamazoo,1. Strong Support,110
Caucasian,M,45-64,Kent,Undecided/Unsure,17
Black,F,30-44,Washtenaw,2. Lean Support,46
Hispanic,M,30-44,Kalamazoo,1. Strong Support,17
Asian,M,18-29,Wayne,1. Strong Support,60
Hispanic,M,30-44,Allegan,1. Strong Support,6
Caucasian,M,65+,Isabella,5. Strong Oppose,2
Asian,F,18-29,Washtenaw,5. Strong Oppose,11
Caucasian,F,65+,Shiawassee,2. Lean Support,3
Hispanic,F,65+,Ionia,5. Strong Oppose,4
Caucasian,F,18-29,Monroe,5. Strong Oppose,19
Black,F,18-29,Livingston,1. Strong Support,4
Caucasian,M,18-29,Allegan,1. Strong Support,1
Hispanic,F,65+,Antrim,1. Strong Support,1
Caucasian,F,65+,Mackinac,2. Lean Support,3
Caucasian,F,18-29,Ottawa,Undecided/Unsure,5
Asian,M,30-44,Washtenaw,5. Strong Oppose,7
Caucasian,M,18-29,Houghton,2. Lean Support,1
Black,F,45-64,Montcalm,4. Lean Oppose,1
Caucasian,M,45-64,Jackson,Undecided/Unsure,1
Caucasian,M,30-44,Clinton,4. Lean Oppose,1
Black,F,30-44,Gogebic,Undecided/Unsure,1
Caucasian,M,30-44,Iron,4. Lean Oppose,1
Black,F,65+,Wayne,1. Strong Support,3065
Black,F,45-64,Wayne,4. Lean Oppose,123
Hispanic,F,45-64,Oakland,1. Strong Support,145
Hispanic,F,30-44,Kent,Undecided/Unsure,70
Caucasian,M,18-29,Kent,5. Strong Oppose,142
Caucasian,F,30-44,Berrien,5. Strong Oppose,27
Caucasian,F,30-44,Sanilac,1. Strong Support,3
Black,M,18-29,Muskegon,5. Strong Oppose,15
Hispanic,F,30-44,Genesee,2. Lean Support,9
Caucasian,M,65+,Marquette,4. Lean Oppose,1
Hispanic,F,65+,Oakland,5. Strong Oppose,22
Caucasian,F,18-29,Eaton,Undecided/Unsure,5
Black,M,30-44,Muskegon,5. Strong Oppose,25
Black,F,45-64,Berrien,Undecided/Unsure,17
Caucasian,F,45-64,Allegan,Undecided/Unsure,2
Caucasian,F,65+,Grand Traverse,Undecided/Unsure,1
Black,F,65+,Macomb,Undecided/Unsure,6
Caucasian,M,45-64,Mackinac,1. Strong Support,1
Caucasian,F,65+,Lapeer,2. Lean Support,1
Caucasian,M,45-64,Dickinson,1. Strong Support,1
Black,F,30-44,Isabella,1. Strong Support,3
Hispanic,F,18-29,Ottawa,Undecided/Unsure,6
Hispanic,M,45-64,Van Buren,4. Lean Oppose,3
Caucasian,M,30-44,Monroe,Not Voting,3
Hispanic,F,45-64,Genesee,4. Lean Oppose,1
Unknown,M,30-44,St. Clair,5. Strong Oppose,1
Caucasian,F,65+,Macomb,Not Voting,6
Hispanic,F,65+,Kalamazoo,1. Strong Support,3
Caucasian,M,65+,Ottawa,1. Strong Support,11
Caucasian,M,65+,Monroe,5. Strong Oppose,12
Black,F,45-64,Kent,4. Lean Oppose,16
Hispanic,M,45-64,Monroe,1. Strong Support,2
Black,F,30-44,Genesee,4. Lean Oppose,42
Hispanic,M,18-29,Oceana,5. Strong Oppose,2
Caucasian,F,45-64,Newaygo,2. Lean Support,1
Asian,M,18-29,Wayne,5. Strong Oppose,9
Black,M,65+,St. Clair,1. Strong Support,1
Hispanic,F,18-29,Oceana,1. Strong Support,1
Unknown,M,45-64,Eaton,5. Strong Oppose,1
Hispanic,F,30-44,Van Buren,Undecided/Unsure,2
Caucasian,F,18-29,Ottawa,4. Lean Oppose,1
Caucasian,F,65+,Oakland,1. Strong Support,5144
Black,F,65+,Genesee,1. Strong Support,376
Black,F,18-29,Wayne,1. Strong Support,3719
Caucasian,F,45-64,Arenac,1. Strong Support,1
Caucasian,M,18-29,Kent,2. Lean Support,77
Hispanic,M,30-44,Oakland,Not Voting,4
Caucasian,F,45-64,Gogebic,5. Strong Oppose,3
Hispanic,F,65+,Lapeer,5. Strong Oppose,3
Caucasian,M,18-29,Roscommon,1. Strong Support,1
Caucasian,F,65+,Livingston,Not Voting,2
Caucasian,F,65+,Barry,1. Strong Support,1
Black,F,30-44,Gratiot,5. Strong Oppose,2
Caucasian,M,45-64,Roscommon,1. Strong Support,1
Black,M,30-44,Branch,1. Strong Support,1
Hispanic,M,30-44,Clinton,4. Lean Oppose,1
Caucasian,M,65+,Marquette,1. Strong Support,3
Caucasian,F,65+,Van Buren,5. Strong Oppose,5
Caucasian,F,65+,Macomb,4. Lean Oppose,9
Unknown,F,45-64,Wayne,Not Voting,1
Caucasian,F,65+,Midland,1. Strong Support,3
Black,F,18-29,Macomb,4. Lean Oppose,10
Caucasian,M,30-44,Kalkaska,2. Lean Support,1
Caucasian,M,18-29,Chippewa,5. Strong Oppose,1
Caucasian,F,65+,Kent,1. Strong Support,117
Unknown,F,65+,Kalamazoo,5. Strong Oppose,3
Asian,M,45-64,Wayne,1. Strong Support,163
Hispanic,M,45-64,Kalamazoo,Undecided/Unsure,6
Caucasian,M,18-29,Kalamazoo,1. Strong Support,95
Black,F,18-29,Washtenaw,Not Voting,5
Asian,M,30-44,Oakland,5. Strong Oppose,58
Asian,M,45-64,Oakland,Not Voting,16
Black,M,30-44,Saginaw,Not Voting,6
Black,M,18-29,Clinton,Undecided/Unsure,1
Caucasian,F,30-44,Tuscola,1. Strong Support,4
Asian,F,30-44,Ingham,5. Strong Oppose,3
Black,M,30-44,Genesee,4. Lean Oppose,6
Asian,M,45-64,Washtenaw,2. Lean Support,3
Unknown,F,18-29,Kalamazoo,Undecided/Unsure,1
Caucasian,F,45-64,Kent,Not Voting,14
Caucasian,F,30-44,Genesee,Undecided/Unsure,293
Hispanic,F,45-64,Wayne,Undecided/Unsure,21
Black,F,30-44,Kalamazoo,1. Strong Support,197
Unknown,M,65+,Macomb,1. Strong Support,11
Black,M,45-64,Muskegon,1. Strong Support,47
Black,M,45-64,Berrien,4. Lean Oppose,3
Caucasian,M,30-44,Calhoun,1. Strong Support,10
Asian,F,65+,Kalamazoo,Undecided/Unsure,1
Caucasian,F,30-44,Menominee,5. Strong Oppose,6
Caucasian,F,30-44,Iosco,5. Strong Oppose,2
Caucasian,M,18-29,Baraga,5. Strong Oppose,2
Black,F,65+,Bay,1. Strong Support,1
Black,F,45-64,Macomb,2. Lean Support,32
Black,M,18-29,Kent,4. Lean Oppose,5
Caucasian,M,18-29,Shiawassee,1. Strong Support,2
Caucasian,F,45-64,Monroe,Undecided/Unsure,3
Asian,F,30-44,Kalamazoo,5. Strong Oppose,1
Caucasian,F,18-29,Tuscola,1. Strong Support,1
Hispanic,M,18-29,St. Joseph,1. Strong Support,1
Black,F,30-44,Sanilac,1. Strong Support,1
Caucasian,F,18-29,Shiawassee,2. Lean Support,1
Black,M,45-64,Wayne,1. Strong Support,7789
Caucasian,F,45-64,Wayne,Undecided/Unsure,75
Caucasian,M,65+,Genesee,2. Lean Support,15
Black,F,30-44,Kent,1. Strong Support,688
Unknown,F,30-44,Genesee,Undecided/Unsure,18
Black,M,30-44,Saginaw,1. Strong Support,78
Black,F,30-44,Saginaw,Not Voting,8
Unknown,F,30-44,Washtenaw,Undecided/Unsure,6
Caucasian,M,45-64,Livingston,1. Strong Support,6
Caucasian,F,18-29,Calhoun,5. Strong Oppose,44
Caucasian,F,30-44,Berrien,2. Lean Support,7
Caucasian,F,65+,Antrim,1. Strong Support,8
Caucasian,F,30-44,Gladwin,1. Strong Support,5
Caucasian,F,45-64,Lenawee,5. Strong Oppose,14
Caucasian,F,18-29,Hillsdale,5. Strong Oppose,6
Caucasian,F,45-64,Antrim,1. Strong Support,4
Caucasian,M,45-64,Eaton,5. Strong Oppose,7
Asian,M,65+,Washtenaw,5. Strong Oppose,3
Caucasian,F,30-44,Bay,Not Voting,4
Caucasian,M,30-44,Chippewa,4. Lean Oppose,3
Caucasian,F,45-64,Muskegon,Undecided/Unsure,4
Hispanic,M,30-44,Macomb,1. Strong Support,30
Caucasian,M,30-44,Saginaw,1. Strong Support,10
Caucasian,F,45-64,Sanilac,5. Strong Oppose,3
Black,M,30-44,Genesee,5. Strong Oppose,155
Black,F,18-29,Genesee,1. Strong Support,574
Caucasian,F,18-29,Macomb,Not Voting,10
Caucasian,M,18-29,Genesee,5. Strong Oppose,55
Asian,M,18-29,Wayne,Undecided/Unsure,19
Unknown,M,18-29,Genesee,Undecided/Unsure,12
Caucasian,M,30-44,Eaton,5. Strong Oppose,11
Asian,F,30-44,Oakland,Not Voting,5
Caucasian,F,30-44,Saginaw,4. Lean Oppose,15
Caucasian,F,18-29,Kalamazoo,Not Voting,8
Black,M,45-64,Antrim,1. Strong Support,1
Caucasian,M,18-29,Manistee,5. Strong Oppose,3
Caucasian,F,30-44,Berrien,1. Strong Support,26
Caucasian,M,45-64,Houghton,5. Strong Oppose,2
Caucasian,M,45-64,Delta,5. Strong Oppose,3
Hispanic,M,30-44,Isabella,5. Strong Oppose,6
Hispanic,M,65+,Wayne,4. Lean Oppose,3
Hispanic,F,30-44,Mason,5. Strong Oppose,3
